#expiry,strike,right,open,high,low,close,volume,open_interest,implied_volatility,delta,gamma,vega,theta,rho
,,,5988.45,6018.25,5971.89,5980.33,0,,,,,,,
20250620,5950,C,62.6500,87.5000,39.8500,48.8500,978,30105,0.1479844,0.7023871,0.0057045,1.4216866,-6.7467799,0.1957556
20250620,6000,C,29.9500,48.5000,13.3500,17.1500,22916,258633,0.1539493,0.3893414,0.0060701,1.5737820,-7.3964820,0.1088312
20250620,6050,C,9.0500,16.1500,2.8500,3.2500,33679,56852,0.1383187,0.1173663,0.0034693,0.8081530,-3.3571343,0.0328983
20250718,5950,C,148.3500,171.3000,135.7000,143.0000,2010,8175,0.1695209,0.5877954,0.0013456,6.6422309,-2.4021804,2.7436276
20250718,6000,C,115.4000,136.2500,104.6000,110.2500,7633,71837,0.1545277,0.5195944,0.0015111,6.7995440,-2.2196148,2.4415059
20250718,6050,C,86.9000,98.7500,76.8000,81.3500,3983,18928,0.1481878,0.4416170,0.0015607,6.7347264,-2.0647862,2.0841181
20250620,5950,P,18.7000,24.6500,5.6000,11.5000,13795,27646,0.1479844,-0.2976129,0.0057045,1.4216866,-5.8504367,-0.0843516
20250620,6000,P,37.4500,47.0000,16.3000,29.9000,22769,250497,0.1539493,-0.6106586,0.0060701,1.5737820,-6.4926065,-0.1736299
20250620,6050,P,67.6500,85.6500,38.2500,65.6000,21601,50601,0.1383187,-0.8826337,0.0034693,0.8081530,-2.4457265,-0.2519166
20250718,5950,P,93.2500,98.6000,73.1000,88.6500,1005,7718,0.1695209,-0.4122046,0.0013456,6.6422309,-1.5096111,-2.0792895
20250718,6000,P,110.0000,117.1000,90.6500,105.7000,8431,68676,0.1545277,-0.4804056,0.0015111,6.7995440,-1.3195449,-2.4219399
20250718,6050,P,130.6000,138.9500,104.2500,126.6000,3138,16676,0.1481878,-0.5583830,0.0015607,6.7347264,-1.1572157,-2.8198564
