#expiry,strike,right,open,high,low,close,volume,open_interest,implied_volatility,delta,gamma,vega,theta,rho
,,,6004.86,6018.2,5952.56,5968.34,0,,,,,,,
20250718,5950,C,149.1000,158.8500,119.0500,129.7500,562,9307,0.1717068,0.5702342,0.0013907,6.4595651,-2.4931949,2.4819423
20250718,6000,C,114.8000,123.5500,90.9500,98.1500,16421,72375,0.1524072,0.4977977,0.0015915,6.5614133,-2.2369537,2.1827688
20250718,6050,C,85.2000,92.7000,65.5500,70.7500,1341,21640,0.1460679,0.4153857,0.0016231,6.4133694,-2.0527290,1.8290388
20250718,5950,P,75.9500,103.0500,72.0500,92.0000,2124,8402,0.1717068,-0.4297658,0.0013907,6.4595651,-1.6003565,-2.0177600
20250718,6000,P,92.8000,122.1500,87.6000,110.2000,19061,68326,0.1524072,-0.5022023,0.0015915,6.5614133,-1.3366125,-2.3547462
20250718,6050,P,111.9500,148.7500,105.0500,132.9000,319,19251,0.1460679,-0.5846143,0.0016231,6.4133694,-1.1448850,-2.7462888
